scheme_code,scheme_name,isin_growth,original_scheme_name,normalized_underlying_name,normalization_rule_version,is_direct,is_regular,is_growth,is_idcw,plan_classification,manual_classification,reviewer_reason,audit_timestamp
128755,Kotak FMP Series 150 (1109 Days) - Direct Growth,INF174K01WJ8,Kotak FMP Series 150 (1109 Days) - Direct Growth,fmp series 150 1109 days,1.0,True,False,True,False,Direct Growth,,,
146376,DSP Nifty 50 Index Fund - Direct Plan - Growth,INF740KA1MM7,DSP Nifty 50 Index Fund - Direct Plan - Growth,nifty 50 index fund,1.0,True,False,True,False,Direct Growth,,,
121767,Birla Sun Life Fixed Term Plan - Series HE (386 days) - Direct Plan-Growth,INF209K01H23,Birla Sun Life Fixed Term Plan - Series HE (386 days) - Direct Plan-Growth,birla sun life fixed term series he 386 days,1.0,True,False,True,False,Direct Growth,,,
123012,JPMorgan US Value Equity Offshore Fund - Direct Plan - Growth Option,INF843K01EC1,JPMorgan US Value Equity Offshore Fund - Direct Plan - Growth Option,jpmorgan us value equity offshore fund,1.0,True,False,True,False,Direct Growth,,,
120343,LIC NOMURA MF SYSTEMATIC ASSET ALLOCATION FUND - Direct Plan GROWTH OPTION,,LIC NOMURA MF SYSTEMATIC ASSET ALLOCATION FUND - Direct Plan GROWTH OPTION,lic nomura mf systematic asset allocation fund,1.0,True,False,True,False,Direct Growth,,,
127423,DWS Medium Term Income Fund- Direct Plan- Growth,INF223J01N61,DWS Medium Term Income Fund- Direct Plan- Growth,dws medium term income fund,1.0,True,False,True,False,Direct Growth,,,
130286,SBI DEBT FUND SERIES A - 33 (36 Months) DIRECT PLAN - GROWTH,INF200K014L3,SBI DEBT FUND SERIES A - 33 (36 Months) DIRECT PLAN - GROWTH,debt fund series a 33 36 months,1.0,True,False,True,False,Direct Growth,,,
118548,Franklin India Retirement Fund - Direct - Growth,INF090I01JZ3,Franklin India Retirement Fund - Direct - Growth,india retirement fund,1.0,True,False,True,False,Direct Growth,,,
151713,quant Dynamic Asset Allocation Fund - Growth Option - Direct Plan,INF966L01BL5,quant Dynamic Asset Allocation Fund - Growth Option - Direct Plan,quant dynamic asset allocation fund,1.0,True,False,True,False,Direct Growth,,,
123705,Groww Short Term Fund (formerly known as Indiabulls Short Term Fund)- Direct Plan- Weekly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment),INF666M01AG1,Groww Short Term Fund (formerly known as Indiabulls Short Term Fund)- Direct Plan- Weekly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment),groww short term fund formerly known as indiabulls short term fund weekly income distribution cum capital withdrawal &,1.0,True,False,False,True,Direct IDCW,,,
