normalized_underlying_name,direct_scheme_code,regular_scheme_code,mapping_status,direct_scheme_codes,regular_scheme_codes
short duration fund,,,ambiguous,"[120510, 118407, 118796, 120718, 142641, 145954]","[112354, 112721, 106624, 108768, 142642, 145952]"
short term bond fund,,,ambiguous,"[118847, 119949]","[112017, 101548]"
short term debt fund,,,ambiguous,"[119016, 119816, 119664, 119667]","[106231, 101563, 118332]"
short term fund,,,ambiguous,"[119498, 119226, 120754]","[101844, 101304]"
shriram overnight fund,,,ambiguous,"[150562, 154394]","[150565, 154399]"
silver etf fof,,,ambiguous,"[149775, 149760, 149780, 154136, 154279]","[149759, 149783, 154135, 154281]"
silver etf fund of fund,,,ambiguous,"[150737, 151603, 151731, 152293, 152735, 153487]","[151602, 151732, 152297, 152733, 153486]"
small cap fund,,,ambiguous,"[119556, 119212, 120164, 118777, 118778, 119589, 125354, 125497, 130503, 145206, 147946, 148618, 152004, 152237, 153196]","[105989, 100795, 125350, 125494, 145208, 147944, 148617, 152003, 152232, 153198]"
special opportunities fund,,,ambiguous,"[148539, 152702, 153749]","[148537, 152703, 153751]"
strategic bond fund,,,ambiguous,"[120475, 119239]","[116894, 105669]"
technology fund,,,ambiguous,"[120594, 152059, 152462, 154244]","[152460, 154247]"
transportation and logistics fund,,,ambiguous,"[120731, 150716, 150685, 151901, 152158]","[150717, 152161]"
treasury advantage fund,,,ambiguous,"[120513, 119863]","[112214, 112717, 103159]"
ultra short duration fund,,,ambiguous,"[119828, 120746, 143494, 144173, 144754, 147772, 148529]","[100641, 102532, 144171, 144759, 147770, 148530]"
ultra short term fund,,,ambiguous,"[120676, 145034, 146075, 147440]","[146070, 147425]"
us specific equity active fof,,,ambiguous,"[148760, 149098]","[148762, 149100]"
value fund,,,ambiguous,"[119659, 118481, 118935, 118784, 119549, 119231, 120751, 148595, 149166, 152018]","[108909, 101853, 101672, 103098, 148594, 149167, 152016]"
yearly interval fund series 1,,,ambiguous,"[120799, 127504]",[127502]
