normalized_underlying_name,direct_scheme_code,regular_scheme_code,mapping_status,direct_scheme_codes,regular_scheme_codes
boi axa capital protection oriented fund series 3,133495.0,133493.0,high_confidence_candidate,,
boi axa capital protection oriented fund series 4,134946.0,134947.0,high_confidence_candidate,,
boi axa capital protection oriented fund series 5,135525.0,135524.0,high_confidence_candidate,,
boi axa fixed maturity series 1,121740.0,121741.0,high_confidence_candidate,,
boi axa fixed maturity series 10,127076.0,127078.0,high_confidence_candidate,,
boi axa fixed maturity series 11,127409.0,127411.0,high_confidence_candidate,,
boi axa fixed maturity series 13,128767.0,128769.0,high_confidence_candidate,,
boi axa fixed maturity series 14,129370.0,129369.0,high_confidence_candidate,,
boi axa fixed maturity series 4,123263.0,123265.0,high_confidence_candidate,,
boi axa fixed maturity series 5,123489.0,123486.0,high_confidence_candidate,,
boi axa fixed maturity series 6,123715.0,123712.0,high_confidence_candidate,,
boi axa fixed maturity series 8,124917.0,124918.0,high_confidence_candidate,,
bond fund,,,ambiguous,"[118924, 120619, 119735]",[100299]
bond fund segregated 17022020,148086.0,148085.0,high_confidence_candidate,,
bond short term,,,rejected,,
bse 1000 index fund,153596.0,153597.0,high_confidence_candidate,,
bse 200 equal weight etf fund of fund,153380.0,153382.0,high_confidence_candidate,,
bse 500 etf fof,,,rejected,,
bse 500 index fund,151728.0,151729.0,high_confidence_candidate,,
bse 500 momentum 50 index fund,153736.0,153735.0,high_confidence_candidate,,
bse 500 quality 50 index fund,153740.0,153742.0,high_confidence_candidate,,
bse financials ex bank 30 index fund,150443.0,150444.0,high_confidence_candidate,,
bse healthcare index fund,152844.0,152843.0,high_confidence_candidate,,
bse housing index fund,,,ambiguous,"[151764, 152039]","[151763, 152038]"
